|duration|orig_bytes|resp_bytes|local_orig|local_resp|missed_bytes|orig_pkts|orig_ip_bytes|resp_pkts|resp_ip_bytes|tunnel_parents|label|multi-label|proto_icmp|proto_tcp|proto_udp|service_-|service_dhcp|service_dns|service_http|service_irc|service_ssh|service_ssl|conn_state_OTH|conn_state_REJ|conn_state_RSTO|conn_state_RSTOS0|conn_state_RSTR|conn_state_RSTRH|conn_state_S0|conn_state_S1|conn_state_S2|conn_state_S3|conn_state_SF|conn_state_SH|conn_state_SHR
0|0.114184|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
1|160.367579|7536|0|-|-|0.0|24.0|8208.0|0.0|0.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
2|0.016986|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
3|0.003497|0|0|-|-|0.0|5.0|212.0|3.0|144.0|0|0|Benign|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
4|0.036724|34|311|-|-|0.0|1.0|62.0|1.0|339.0|0|0|Benign|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
5|384.518261|15072|0|-|-|0.0|48.0|16416.0|0.0|0.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
6|0.270332|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
7|0.111429|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
8|0.114433|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
9|0.016984|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
10|0.003497|0|0|-|-|0.0|4.0|172.0|2.0|92.0|0|0|Benign|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
11|0.040227|34|311|-|-|0.0|1.0|62.0|1.0|339.0|0|0|Benign|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
12|0.270346|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
13|0.109684|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
14|0.114426|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
15|0.016980|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
16|1633.044330|60288|0|-|-|0.0|192.0|65664.0|0.0|0.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
17|0.003498|0|0|-|-|0.0|4.0|172.0|2.0|92.0|0|0|Benign|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
18|0.183145|34|311|-|-|0.0|1.0|62.0|1.0|339.0|0|0|Benign|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
19|0.272344|48|48|-|-|0.0|1.0|76.0|1.0|76.0|0|0|Benign|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
